,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
162,14105,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
163,14106,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
164,14107,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
165,14108,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
166,14109,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
167,14110,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
168,14111,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
169,14112,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
170,14113,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
171,14115,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
172,14116,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
173,14118,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
174,14120,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
175,14121,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
176,14123,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
177,14124,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
178,14125,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
179,14126,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
180,14128,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0
181,14129,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
182,14131,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
183,14132,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
184,14133,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
185,14134,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
186,14135,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
187,14136,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
188,14137,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
189,14138,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
190,15004,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
191,15005,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
192,15006,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
193,20002,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0
194,20003,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
195,20004,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
196,20005,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
197,20008,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0
198,20009,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
199,20011,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
201,20025,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
202,20026,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
203,20920,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
205,24004,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
206,24009,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
207,24015,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
208,24019,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
209,24020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
210,24022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
211,24025,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
212,24028,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
213,24031,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
214,24032,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
215,24037,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
216,24039,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
217,24040,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
218,24042,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
219,24043,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
220,24044,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
